session_id,source,local_date,first_timestamp,last_timestamp,models,calls,total_tokens,input_tokens,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,codex_credits_input,codex_credits_cached_input,codex_credits_output,codex_credits,unpriced_tokens
rollout-2025-12-22T11-53-17-019b4768-9f98-73b0-931b-a30a75d24760,archived,2025-12-22,2025-12-22T18:53:17.598Z,2025-12-22T19:10:04.384Z,gpt-5-codex,119,1874425,1825646,1395968,429678,48779,31232,0,0,0,0,1874425
rollout-2026-02-18T11-45-41-019c7212-811c-7a91-b5fe-e4965ad13104,archived,2026-02-19,2026-02-18T18:45:59.166Z,2026-02-19T22:14:02.368Z,gpt-5.3-codex,118,10756527,10543302,9926016,617286,213225,61471,0,0,0,0,10756527
rollout-2026-02-18T11-47-40-019c7214-535d-7371-9157-4fe76a932cb8,archived,2026-02-18,2026-02-18T18:49:44.603Z,2026-02-19T03:19:49.483Z,gpt-5.3-codex,325,31774965,31513743,29732480,1781263,261222,103830,0,0,0,0,31774965
rollout-2026-03-05T18-40-08-019cc0cd-57aa-7661-9375-8fae309a52cb,archived,2026-03-05,2026-03-06T01:40:17.347Z,2026-03-06T03:01:17.249Z,gpt-5.3-codex|gpt-5.4,67,6496964,6366801,5821312,545489,130163,37940,25.568125,31.38639999999999,31.78125,88.735775,981300
rollout-2026-03-05T18-41-58-019cc0cf-02ff-7433-bf76-e7d6ef0581df,archived,2026-03-05,2026-03-06T01:44:28.756Z,2026-03-06T01:53:16.920Z,gpt-5.4,14,502236,448408,408320,40088,53828,23430,2.5054999999999996,2.552,20.1855,25.242999999999995,0
rollout-2026-03-05T20-12-31-019cc121-eb5d-76a1-8da6-fd7efb968d85,archived,2026-03-05,2026-03-06T03:12:34.647Z,2026-03-06T03:13:07.008Z,gpt-5.4,3,66127,64829,50816,14013,1298,201,0.8758125,0.3176,0.48674999999999996,1.6801624999999998,0
rollout-2026-03-05T21-26-37-019cc165-c356-7402-80b2-74f576b7f8ca,archived,2026-03-07,2026-03-06T04:26:46.386Z,2026-03-07T13:53:27.947Z,gpt-5.4,378,45940372,45497592,43680768,1816824,290902,124184,113.55149999999996,273.00480000000005,109.0882499999999,495.64454999999987,0
rollout-2026-03-25T10-08-44-019d25c1-66c5-7b60-a73d-501c6b9352e4,archived,2026-03-25,2026-03-25T16:09:51.476Z,2026-03-26T00:56:32.694Z,gpt-5.4,117,11809070,11580255,10341376,1238879,168435,72595,77.42993749999997,64.63360000000003,63.163125000000015,205.22666250000003,0
rollout-2026-04-06T11-44-17-019d63e5-30bf-75b0-9697-bb547a496fa8,archived,2026-04-06,2026-04-06T17:44:20.403Z,2026-04-06T21:28:44.474Z,gpt-5.4,337,38921007,38577097,37579264,997833,288005,123099,62.364562499999984,234.87039999999993,108.00187499999996,405.23683749999987,0
rollout-2026-06-15T12-05-49-019ecc76-0d05-7562-92db-3c6572758f5e,archived,2026-06-15,2026-06-15T18:05:49.515Z,2026-06-15T18:11:00.522Z,gpt-5.5,10,350477,345631,283904,61727,4846,3528,7.7158750000000005,3.5487999999999995,3.6344999999999996,14.899175000000003,0
rollout-2026-06-24T17-20-10-019efbef-146e-7b41-8c59-251b39d434df,archived,2026-06-24,2026-06-24T23:20:25.781Z,2026-06-24T23:30:46.431Z,gpt-5.5,20,3319408,3303241,2741248,561993,16167,8552,70.249125,34.265600000000006,12.12525,116.63997499999999,0
rollout-2026-06-24T17-21-51-019efbf0-9ed9-7d93-abfe-59869fd82ec9,archived,2026-06-24,2026-06-24T23:22:08.422Z,2026-06-24T23:22:52.112Z,gpt-5.5,4,210552,208409,121856,86553,2143,1516,10.819125,1.5231999999999999,1.60725,13.949575000000001,0
rollout-2026-06-24T17-22-18-019efbf1-0917-7342-8a46-73112f758aa5,archived,2026-06-24,2026-06-24T23:22:58.538Z,2026-06-24T23:38:12.357Z,gpt-5.5,31,1775960,1764720,1487488,277232,11240,6474,34.653999999999996,18.593600000000002,8.429999999999998,61.677600000000005,0
rollout-2026-06-24T17-38-56-019efc00-44d3-7170-a7e6-f89320fbbc6c,archived,2026-06-24,2026-06-24T23:39:17.030Z,2026-06-24T23:54:39.562Z,gpt-5.5,43,3423874,3375966,2729728,646238,18789,10809,80.77974999999999,34.1216,14.091749999999998,128.9931,0
rollout-2026-06-24T18-00-54-019efc14-6251-7c83-845e-fb05e282b17e,archived,2026-06-24,2026-06-25T00:00:55.212Z,2026-06-25T00:02:29.760Z,gpt-5.5,6,462129,457256,232192,225064,4873,3410,28.133,2.9024,3.65475,34.69015,0
rollout-2026-06-24T18-03-56-019efc17-28d0-7560-8146-2d99aab2f8e0,archived,2026-06-24,2026-06-25T00:03:59.338Z,2026-06-25T00:06:56.768Z,gpt-5.5,6,621391,616120,382208,233912,5271,3773,29.238999999999997,4.7776,3.9532499999999997,37.96985,0
rollout-2026-06-24T18-28-44-019efc2d-dda2-7cb3-9854-7a8da1f8ced5,archived,2026-06-24,2026-06-25T00:28:45.741Z,2026-06-25T00:29:12.397Z,gpt-5.5,4,150932,150125,78848,71277,807,244,8.909625,0.9856,0.60525,10.500475000000002,0
rollout-2026-06-24T18-29-59-019efc2f-012f-7883-a526-e57649afcdf1,archived,2026-06-24,2026-06-25T00:30:00.224Z,2026-06-25T00:32:35.146Z,gpt-5.5,9,710146,681289,277504,403785,2326,593,50.47312499999999,3.4688,1.7445000000000002,55.68642499999999,0
rollout-2026-06-24T18-33-46-019efc32-78fa-7342-b55b-b5fcc0d70963,archived,2026-06-24,2026-06-25T00:33:49.934Z,2026-06-25T00:34:36.790Z,gpt-5.5,4,269930,268332,99328,169004,1598,670,21.125500000000002,1.2416,1.1985,23.565600000000003,0
rollout-2026-06-24T18-35-34-019efc34-1f46-72d3-8905-01caae1de033,archived,2026-06-24,2026-06-25T00:35:36.304Z,2026-06-25T00:43:02.510Z,gpt-5.5,27,1372639,1367299,1084544,282755,5340,1664,35.344375,13.556800000000003,4.005000000000001,52.906175,0
rollout-2026-06-24T18-46-26-019efc3e-114e-7f51-a835-3b46ab962822,archived,2026-06-24,2026-06-25T00:46:27.013Z,2026-06-25T00:47:58.292Z,gpt-5.5,10,452127,449208,318720,130488,2919,1698,16.311,3.984,2.18925,22.484250000000003,0
rollout-2026-06-24T18-50-04-019efc41-63c8-72f2-ada2-354b9ce9d0d0,archived,2026-06-25,2026-06-25T00:50:06.335Z,2026-06-25T12:21:13.306Z,gpt-5.5,35,2032907,2025867,1581184,444683,7040,2684,55.585375,19.764800000000008,5.279999999999999,80.630175,0
rollout-2026-06-25T08-35-50-019eff35-689d-7553-9dd8-ca7331a22db3,archived,2026-06-25,2026-06-25T14:35:50.996Z,2026-06-25T14:38:10.494Z,gpt-5.5,5,516128,513518,275328,238190,2610,1161,29.773750000000003,3.4416,1.9575,35.17285,0
